model,family,top_frac,annual_return,annual_volatility,sharpe,max_drawdown,avg_turnover,n_days
Ridge,linear,0.03,0.12018912026688731,0.1577271977939763,0.7620063118339215,-0.4429173851973651,0.8891491783780433,733
Ridge,linear,0.05,0.1301835491146197,0.15517357777120697,0.8389543566918759,-0.4371464688817107,0.8556048560808485,733
Ridge,linear,0.1,0.14132180935434085,0.15009160126407312,0.9415704021019632,-0.42400755112647925,0.7941966846578086,733
TCN-reg,sequence,0.01,0.34578331905944515,0.23541436506391156,1.4688284589836735,-0.5060469303264458,0.9898627155533234,724
TCN-reg,sequence,0.03,0.2001515080448056,0.18014717235727745,1.111044405669907,-0.4478450204627695,0.9861842253954125,724
TCN-reg,sequence,0.05,0.15005584624474827,0.16178060645259632,0.9275267878830487,-0.45514833822999645,0.9831231489135351,724
TCN-reg,sequence,0.1,0.10731677069990636,0.14465048501631747,0.7419039810879332,-0.45230485381080276,0.9758840294343163,724
TabNet-reg,tabular_dl,0.01,0.07874215026207476,0.11774835396455527,0.6687324927342747,-0.4605727515065713,0.3548787653002487,733
TabNet-reg,tabular_dl,0.03,0.17240508699486076,0.1357326184073682,1.2701816926380152,-0.37359478487046516,0.2789073720844108,733
TabNet-reg,tabular_dl,0.05,0.20344049922820298,0.14277170715758172,1.4249356772323185,-0.383841853447473,0.248491239517161,733
TabNet-reg,tabular_dl,0.1,0.19590340162132286,0.14564754009260888,1.3450512208909204,-0.40161028703731994,0.23785582500268646,733
XGBoost-reg,gbdt,0.01,0.06234434198947004,0.1613390585859118,0.3864181589746426,-0.4941409520858846,0.954250223980963,733
XGBoost-reg,gbdt,0.03,0.08066231338713156,0.15377326482955345,0.5245535592714371,-0.4718850427555482,0.9176541191967462,733
XGBoost-reg,gbdt,0.05,0.1044934854196042,0.15027518360573514,0.695347581099986,-0.4556651834439114,0.8873836120917465,733
XGBoost-reg,gbdt,0.1,0.12143951119197043,0.14567200162626348,0.8336503228913954,-0.4387892314577325,0.8204433095982017,733
